filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
21548917.png,256515,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[37,106,122,120,100,108,134,143,143,138,140,134,102,98,94,123,132,137,118,91,95,111,113,96,45,37,37],""all_points_y"":[188,182,197,230,282,317,342,365,379,413,441,458,480,480,478,457,397,371,338,301,257,229,201,190,197,193,187]}","{}"
217613113.png,302721,"{}",2,0,"{""name"":""polyline"",""all_points_x"":[321,305,317,343,346,322],""all_points_y"":[252,217,208,225,248,255]}","{}"
217613113.png,302721,"{}",2,1,"{""name"":""polyline"",""all_points_x"":[365,377,370,362,342,344,362],""all_points_y"":[307,318,353,369,368,318,306]}","{}"
217712387.png,374433,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[296,310,302,302,294,308,311,320,318,316,318,325,338,339,355,357,370,375,386,386,375,350,336,332,334,339,342,366,362,353,344,333,318,306,291,286,289,285,292,296],""all_points_y"":[197,183,165,159,135,140,154,144,133,125,125,95,107,114,129,133,127,133,133,181,207,226,216,229,238,238,237,275,301,304,305,292,313,314,290,251,237,215,214,194]}","{}"
2162212406.png,594412,"{}",2,0,"{""name"":""polyline"",""all_points_x"":[160,158,145,126,142,150,184,201,214,233,252,257,266,273,270,275,274,267,257,250,244,241,222,205,185,166,162],""all_points_y"":[311,288,267,235,218,185,171,169,179,185,189,189,220,238,256,267,277,289,310,317,325,331,333,327,326,319,313]}","{}"
2162212406.png,594412,"{}",2,1,"{""name"":""polyline"",""all_points_x"":[141,190,218,268,278,283,294,294,302,318,328,342,350,353,349,349,350,352,350,348,354,366,375,386,394,392,394,400,394,392,402,414,437,447,444,433,426,451,486,509,539,541,542,522,477,367,335,306,268,204,154,125,81,61,70,94,138],""all_points_y"":[111,106,106,118,129,129,133,146,157,177,195,218,235,254,279,295,303,308,321,327,339,353,368,345,338,332,313,306,290,274,259,241,237,236,226,223,199,200,202,249,271,294,305,314,401,441,431,405,408,393,377,347,296,239,201,164,113]}","{}"
2171153851.png,390614,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[281,294,295,298,290,277,271,271,270,306,323,338,354,369,361,356,340,327,334,303,290,280,274,272,270,279],""all_points_y"":[269,267,256,249,241,233,230,199,179,175,181,189,205,246,282,295,313,303,315,336,336,327,323,317,313,269]}","{}"
2171213598.png,607717,"{}",2,0,"{""name"":""polyline"",""all_points_x"":[260,251,255,280,267,249,255,260,261],""all_points_y"":[197,178,174,188,333,317,212,204,196]}","{}"
2171213598.png,607717,"{}",2,1,"{""name"":""polyline"",""all_points_x"":[386,378,393,407,409,402,392,378,374,386],""all_points_y"":[237,203,204,248,281,316,337,343,329,241]}","{}"
21625122824.png,669254,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[221,294,347,410,386,322,274,237,225,226,223,220],""all_points_y"":[140,112,109,123,521,521,525,530,526,483,467,140]}","{}"
21921455.png,863483,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[272,281,284,276,338,343,396,401,414,414,419,400,393,392,429,460,484,482,425,424,376,267,267,262,259,273],""all_points_y"":[308,246,224,195,196,219,233,254,277,324,358,367,433,467,538,587,629,652,734,733,649,473,447,425,402,306]}","{""outside"":"""","""":""""}"
219112163.png,953835,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[271,276,281,308,321,326,316,321,347,366,373,382,392,392,387,364,352,334,342,343,347,340,352,338,296,286,272,268,272,270,262,247,242,246,266,272,276],""all_points_y"":[364,286,257,210,158,105,80,68,75,87,133,197,259,323,380,459,533,581,628,678,715,725,762,776,781,773,730,714,705,669,605,561,519,500,468,415,361]}","{""outside"":"""","""":""""}"
2154135643.png,432410,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[156,149,145,141,130,146,194,250,297,330,354,366,370,375,375,379,378,246,184,154],""all_points_y"":[447,371,316,252,173,159,166,178,202,223,246,287,325,362,390,417,447,455,453,449]}","{""outside"":"""","""":""""}"
2154153424.png,470746,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[204,201,230,254,327,340,354,361,366,366,374,371,307,258,206],""all_points_y"":[386,329,279,252,173,153,179,231,285,335,373,387,393,389,388]}","{""outside"":"""","""":""""}"
2157155955.png,541108,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[104,131,131,387,395,395,385,126,104],""all_points_y"":[380,130,123,113,147,464,472,461,379]}","{""outside"":"""","""":""""}"
2191015629.png,990613,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[220,230,251,266,316,332,402,448,457,464,456,458,443,407,367,349,347,349,334,316,291,275,275,258,227,205,191,163,154,144,149,158,149,206,221,216,230,239,254,271,316,321,301,311,280,271,278,271,256,266,309,310,281,256,227,216,216,221],""all_points_y"":[224,182,158,121,121,149,224,280,328,390,432,466,506,561,594,614,624,634,643,677,688,726,739,761,767,805,819,816,801,752,710,704,688,649,620,614,606,573,580,571,557,537,518,497,471,463,454,437,426,411,376,358,347,320,306,300,261,219]}","{""outside"":"""","""":""""}"
2191414831.png,930621,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[99,82,85,91,78,84,95,100,111,128,156,205,235,240,242,267,296,301,311,328,359,358,388,407,418,433,434,449,454,451,452,473,473,468,315,99,99],""all_points_y"":[609,295,280,271,242,227,219,208,182,161,157,171,190,209,233,244,254,267,249,244,264,239,225,230,234,220,238,232,247,270,272,273,415,588,604,629,606]}","{""outside"":"""","""":""""}"
2191417546.png,994723,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[221,258,266,277,286,332,449,473,488,488,463,468,483,478,464,457,457,444,439,448,458,471,463,461,452,458,456,430,424,425,453,453,402,339,220,202,200,178,177,170,153,151,137,134,128,128,130,148,147,153,149,137,139,180,185,178,215,221,210,189,180,178,165,182,185,191,200,221],""all_points_y"":[278,218,196,204,168,109,156,205,261,310,367,377,370,410,447,445,454,457,456,490,501,524,543,556,550,588,591,624,650,661,696,715,700,710,723,726,730,718,712,715,702,692,693,678,666,643,630,635,619,585,580,573,563,510,502,485,462,433,413,415,416,370,359,338,295,290,266,276]}","{""outside"":"""","""":""""}"
